ConsumoID,Frecuencia_Consumo,Lugar_Compra_Habitual,Compania_Partidos,Gasto_Snacks_Partido
414,Rara vez,Aplicación de delivery,Familia,Menos de Q25
415,3 a 5 veces por semana,Tienda de barrio,Otro,Q51 - Q100
416,Todos los días,Supermercado,Compañeros de trabajo,Q101 - Q150
417,Rara vez,Tienda de barrio,Amigos,Q101 - Q150
418,3 a 5 veces por semana,Gasolinera,Amigos,Q101 - Q150
419,Rara vez,Kiosco escolar/universitario,Familia,Q51 - Q100
420,Todos los días,Kiosco escolar/universitario,Otro,Q25 - Q50
421,Varias veces al mes,Otro,Solo,Q51 - Q100
422,Todos los días,Kiosco escolar/universitario,Otro,Q101 - Q150
423,Todos los días,Supermercado,Compañeros de trabajo,Q25 - Q50
424,Todos los días,Supermercado,Amigos,Más de Q150
425,Varias veces al mes,Kiosco escolar/universitario,Solo,Q51 - Q100
426,Varias veces al mes,Otro,Amigos,Menos de Q25
427,Todos los días,Otro,Amigos,Más de Q150
428,Varias veces al mes,Tienda de barrio,Solo,Q101 - Q150
429,1 a 2 veces por semana,Supermercado,Amigos,Más de Q150
430,Todos los días,Aplicación de delivery,Solo,Q101 - Q150
431,Rara vez,Tienda de barrio,Solo,Menos de Q25
432,Todos los días,Supermercado,Solo,Q51 - Q100
433,3 a 5 veces por semana,Kiosco escolar/universitario,Familia,Menos de Q25
434,1 a 2 veces por semana,Supermercado,Otro,Q101 - Q150
435,1 a 2 veces por semana,Supermercado,Compañeros de trabajo,Q101 - Q150
436,Varias veces al mes,Kiosco escolar/universitario,Familia,Más de Q150
437,Varias veces al mes,Otro,Familia,Q101 - Q150
438,1 a 2 veces por semana,Otro,Solo,Q25 - Q50
439,Rara vez,Supermercado,Solo,Q25 - Q50
440,Rara vez,Supermercado,Solo,Q51 - Q100
441,Varias veces al mes,Aplicación de delivery,Compañeros de trabajo,Menos de Q25
442,Varias veces al mes,Kiosco escolar/universitario,Compañeros de trabajo,Menos de Q25
443,1 a 2 veces por semana,Supermercado,Solo,Más de Q150
444,1 a 2 veces por semana,Otro,Solo,Q51 - Q100
445,Todos los días,Supermercado,Otro,Q101 - Q150
446,Varias veces al mes,Supermercado,Compañeros de trabajo,Q101 - Q150
447,3 a 5 veces por semana,Otro,Compañeros de trabajo,Q25 - Q50
448,3 a 5 veces por semana,Tienda de barrio,Otro,Más de Q150
449,3 a 5 veces por semana,Aplicación de delivery,Compañeros de trabajo,Q51 - Q100
450,Rara vez,Supermercado,Compañeros de trabajo,Menos de Q25
451,Varias veces al mes,Aplicación de delivery,Familia,Menos de Q25
452,1 a 2 veces por semana,Supermercado,Solo,Q101 - Q150
453,3 a 5 veces por semana,No especificado,Amigos,Q25 - Q50
454,Varias veces al mes,Otro,Compañeros de trabajo,Menos de Q25
455,3 a 5 veces por semana,Gasolinera,Otro,Más de Q150
456,1 a 2 veces por semana,Tienda de barrio,Solo,Más de Q150
457,Rara vez,Supermercado,Familia,Más de Q150
458,Todos los días,Aplicación de delivery,Otro,Q25 - Q50
459,3 a 5 veces por semana,Kiosco escolar/universitario,Amigos,Q101 - Q150
460,3 a 5 veces por semana,Otro,Solo,Más de Q150
461,Todos los días,Kiosco escolar/universitario,Compañeros de trabajo,Menos de Q25
462,Todos los días,Aplicación de delivery,Familia,Q101 - Q150
463,1 a 2 veces por semana,No especificado,Compañeros de trabajo,Q51 - Q100
464,1 a 2 veces por semana,Aplicación de delivery,Compañeros de trabajo,Más de Q150
465,Todos los días,Gasolinera,Compañeros de trabajo,Q51 - Q100
466,1 a 2 veces por semana,Otro,Compañeros de trabajo,Q51 - Q100
467,Varias veces al mes,Aplicación de delivery,Compañeros de trabajo,Q51 - Q100
468,Varias veces al mes,Kiosco escolar/universitario,Amigos,Menos de Q25
469,Todos los días,Aplicación de delivery,Solo,Q51 - Q100
470,Rara vez,Otro,Amigos,Q25 - Q50
471,1 a 2 veces por semana,Aplicación de delivery,Solo,Q51 - Q100
472,Varias veces al mes,No especificado,Amigos,Q25 - Q50
473,3 a 5 veces por semana,Otro,Amigos,Menos de Q25
474,Varias veces al mes,Supermercado,Otro,Menos de Q25
475,Rara vez,Kiosco escolar/universitario,Amigos,Q25 - Q50
476,Todos los días,No especificado,Familia,Menos de Q25
477,Rara vez,Otro,Familia,Q25 - Q50
478,3 a 5 veces por semana,Supermercado,Otro,Q25 - Q50
479,Varias veces al mes,Supermercado,Otro,Q51 - Q100
480,Rara vez,Gasolinera,Amigos,Q25 - Q50
481,Rara vez,Tienda de barrio,Familia,Más de Q150
482,Todos los días,No especificado,Amigos,Q25 - Q50
483,1 a 2 veces por semana,Aplicación de delivery,Otro,Más de Q150
484,Varias veces al mes,Kiosco escolar/universitario,Solo,Más de Q150
485,1 a 2 veces por semana,Gasolinera,Compañeros de trabajo,Menos de Q25
486,Rara vez,Gasolinera,Familia,Q101 - Q150
487,1 a 2 veces por semana,Gasolinera,Compañeros de trabajo,Más de Q150
488,3 a 5 veces por semana,Otro,Compañeros de trabajo,Q51 - Q100
489,3 a 5 veces por semana,Kiosco escolar/universitario,Familia,Q101 - Q150
490,Todos los días,No especificado,Compañeros de trabajo,Menos de Q25
491,Rara vez,Tienda de barrio,Solo,Q25 - Q50
492,Varias veces al mes,Gasolinera,Compañeros de trabajo,Menos de Q25
493,1 a 2 veces por semana,No especificado,Amigos,Menos de Q25
494,Rara vez,Gasolinera,Amigos,Menos de Q25
495,Varias veces al mes,Supermercado,Compañeros de trabajo,Menos de Q25
496,Todos los días,Aplicación de delivery,Amigos,Q101 - Q150
497,Todos los días,Tienda de barrio,Compañeros de trabajo,Más de Q150
498,Todos los días,Tienda de barrio,Solo,Menos de Q25
499,1 a 2 veces por semana,Gasolinera,Solo,Q101 - Q150
500,1 a 2 veces por semana,Aplicación de delivery,Compañeros de trabajo,Q25 - Q50
501,Varias veces al mes,Gasolinera,Otro,Q25 - Q50
502,Rara vez,Otro,Familia,Q101 - Q150
503,Todos los días,Tienda de barrio,Compañeros de trabajo,Menos de Q25
504,Todos los días,No especificado,Amigos,Q51 - Q100
505,Todos los días,Kiosco escolar/universitario,Familia,Q101 - Q150
506,1 a 2 veces por semana,Kiosco escolar/universitario,Otro,Q25 - Q50
507,Todos los días,Supermercado,Otro,Q51 - Q100
508,Todos los días,Tienda de barrio,Solo,Q101 - Q150
509,3 a 5 veces por semana,Otro,Compañeros de trabajo,Menos de Q25
510,Todos los días,No especificado,Amigos,Menos de Q25
511,1 a 2 veces por semana,Otro,Solo,Menos de Q25
512,Rara vez,Aplicación de delivery,Amigos,Q101 - Q150
513,3 a 5 veces por semana,Aplicación de delivery,Otro,Q51 - Q100
514,3 a 5 veces por semana,No especificado,Familia,Q25 - Q50
515,3 a 5 veces por semana,Gasolinera,Compañeros de trabajo,Más de Q150
516,Rara vez,Gasolinera,Solo,Más de Q150
517,Todos los días,Kiosco escolar/universitario,Familia,Más de Q150
518,Rara vez,Aplicación de delivery,Amigos,Más de Q150
519,3 a 5 veces por semana,Tienda de barrio,Compañeros de trabajo,Q101 - Q150
520,Rara vez,Tienda de barrio,Compañeros de trabajo,Q51 - Q100
521,Rara vez,No especificado,Familia,Q25 - Q50
522,Varias veces al mes,Aplicación de delivery,Otro,Q25 - Q50
523,Varias veces al mes,No especificado,Familia,Q101 - Q150
524,Varias veces al mes,Aplicación de delivery,Solo,Q101 - Q150
525,Todos los días,Aplicación de delivery,Solo,Q25 - Q50
526,1 a 2 veces por semana,Kiosco escolar/universitario,Solo,Q101 - Q150
527,Todos los días,No especificado,Amigos,Q101 - Q150
528,Varias veces al mes,Supermercado,Solo,Más de Q150
