MarketingID,Equipo_Favorito,Compra_Diseno_Seleccion,Seleccion_Influye_Compra,Tipo_Publicidad,Tipo_Promocion,Sigue_Mundial_2026,Compraria_Tarjetas_Coleccionables
556,México,Tal vez,Francia,Un jugador famoso,Sorteo de camisetas,No,Sí
557,Argentina,Tal vez,Estados Unidos,Una selección nacional,Tarjetas coleccionables,Sí,No
558,Portugal,Probablemente sí,Brasil,Historias de aficionados,Producto gratis,Sí,Sí
559,Argentina,Definitivamente sí,España,Una selección nacional,2x1,Sí,Sí
560,Francia,Definitivamente sí,Francia,Premios y sorteos,Sorteo de camisetas,Sí,No
561,Uruguay,Definitivamente sí,Uruguay,Un jugador famoso,2x1,Sí,Sí
562,Argentina,Definitivamente sí,Brasil,Premios y sorteos,Descuento directo,Sí,Sí
563,México,Probablemente sí,Alemania,Una selección nacional,Tarjetas coleccionables,Sí,Sí
564,Estados Unidos,Tal vez,Suecia,Un jugador famoso,Sorteo de balones,Sí,Sí
565,México,Tal vez,Brasil,Premios y sorteos,2x1,Sí,Sí
566,Portugal,Tal vez,Francia,Una selección nacional,Sorteo de camisetas,Sí,No
567,Brasil,Probablemente sí,Francia,Humor,2x1,Sí,No
568,Panamá,Definitivamente sí,España,Premios y sorteos,Descuento directo,Sí,No
569,Colombia,Tal vez,Argentina,Humor,Sorteo de camisetas,Sí,No
570,Argentina,Definitivamente no,Alemania,Historias de aficionados,Producto gratis,Sí,Sí
571,Arabia Saudita,Definitivamente no,Inglaterra,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
572, ESTADOS UNIDOS ,Probablemente sí,Brasil,Premios y sorteos,2x1,Sí,Sí
573,Argentina,Tal vez,No especificado,Un jugador famoso,Producto gratis,Sí,Sí
574,Argentina,Definitivamente sí,Estados Unidos,Humor,Tarjetas coleccionables,Sí,Sí
575,México,Definitivamente sí,Argentina,Historias de aficionados,Descuento directo,Sí,No
576,Portugal,Probablemente sí,Francia,Una selección nacional,Descuento directo,Sí,No
577,Estados Unidos,Definitivamente sí,México,Una selección nacional,Sorteo de camisetas,Sí,No
578,Escocia,Probablemente no,Argentina,Una selección nacional,2x1,Sí,No
579,Inglaterra,Definitivamente sí,México,Una selección nacional,Descuento directo,Sí,Sí
580,Portugal,Definitivamente sí,Argentina,Una selección nacional,Descuento directo,Sí,Sí
581,Portugal,Tal vez,Argentina,Historias de aficionados,Descuento directo,Sí,No
582,Inglaterra,Definitivamente sí,Inglaterra,Una selección nacional,2x1,Sí,No
583,México,Definitivamente no,Portugal,Premios y sorteos,Descuento directo,Sí,Sí
584,México,Tal vez,Estados Unidos,Premios y sorteos,Sorteo de camisetas,Sí,No
585,Uruguay,Definitivamente sí,Francia,Premios y sorteos,Sorteo de camisetas,Sí,Sí
586,Argentina,Probablemente no,Brasil,Premios y sorteos,Sorteo de viajes,No,Sí
587,España,Probablemente sí,Portugal,Una selección nacional,2x1,Sí,Sí
588,México,Tal vez,Brasil,Una selección nacional,Tarjetas coleccionables,Sí,Sí
589,Inglaterra,Definitivamente sí,Argentina,Humor,2x1,Sí,Sí
590,Colombia,Probablemente no,Brasil,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
591,Estados Unidos,Tal vez,México,Una selección nacional,Descuento directo,No,Sí
592,Argentina,Probablemente sí,Francia,Humor,2x1,Sí,Sí
593,Portugal,Definitivamente no,Colombia,Un jugador famoso,2x1,Sí,No
594,Francia,Probablemente sí,No especificado,Humor,Sorteo de viajes,Sí,Sí
595,Inglaterra,Probablemente sí,Brasil,Humor,2x1,Sí,Sí
596,Argentina,Definitivamente sí,Brasil,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
597,Portugal,Probablemente sí,Alemania,Un jugador famoso,Descuento directo,Sí,No
598,Portugal,Probablemente sí,España,Una selección nacional,Descuento directo,Sí,Sí
599,España,Definitivamente sí,Argentina,Premios y sorteos,Producto gratis,Sí,No
600,Portugal,Probablemente sí,Francia,Una selección nacional,Sorteo de balones,Sí,Sí
601,Estados Unidos,Tal vez,Brasil,Un jugador famoso,Descuento directo,Sí,Sí
602,Brasil,Probablemente sí,Argentina,Una selección nacional,Descuento directo,No,Sí
603,Argentina,Probablemente no,México,Una selección nacional,Sorteo de camisetas,Sí,Sí
604,México,Definitivamente sí,Argentina,Un jugador famoso,Producto gratis,Sí,No
605,Arabia Saudita,Tal vez,Argentina,Una selección nacional,Descuento directo,Sí,Sí
606,Brasil,Definitivamente sí,México,Un jugador famoso,Sorteo de camisetas,Sí,Sí
607,Estados Unidos,Tal vez,Brasil,Premios y sorteos,Descuento directo,No,No
608,Brasil,Definitivamente sí,México,Una selección nacional,Sorteo de viajes,Sí,Sí
609,Brasil,Tal vez,Argentina,Una selección nacional,Descuento directo,Sí,No
610,Francia,Probablemente sí,Portugal,Una selección nacional,Producto gratis,Sí,No
611, BRASIL ,Tal vez,México,Premios y sorteos,Sorteo de viajes,Sí,Sí
612, PORTUGAL ,Definitivamente sí,Brasil,Historias de aficionados,Descuento directo,Sí,No
613,España,Definitivamente sí,Argentina,Un jugador famoso,Producto gratis,No,No
614,Argentina,Definitivamente sí,Argentina,Historias de aficionados,Sorteo de camisetas,Sí,No
615,Arabia Saudita,Definitivamente no,Alemania,Una selección nacional,Descuento directo,Sí,No
616,Brasil,Definitivamente sí,España,Historias de aficionados,2x1,No,No
617,Brasil,Tal vez,Portugal,Un jugador famoso,Descuento directo,Sí,Sí
618,Inglaterra,Definitivamente sí,Estados Unidos,Una selección nacional,Sorteo de viajes,Sí,Sí
619,Portugal,Probablemente sí,Inglaterra,Humor,Producto gratis,Sí,Sí
620,Francia,Probablemente sí,Portugal,Una selección nacional,2x1,Sí,Sí
621,Estados Unidos,Tal vez,Uruguay,Historias de aficionados,Sorteo de viajes,Sí,No
622,Brasil,Tal vez,España,Un jugador famoso,Descuento directo,Sí,Sí
623,Argentina,Probablemente sí,Argentina,Una selección nacional,Tarjetas coleccionables,No,Sí
624,Colombia,Probablemente no,Brasil,Un jugador famoso,Descuento directo,Sí,Sí
625,México,Definitivamente sí,Francia,Un jugador famoso,Sorteo de camisetas,Sí,Sí
626,México,Probablemente no,Argentina,Historias de aficionados,Producto gratis,No,Sí
627,Brasil,Probablemente no,Uruguay,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
628,Argelia,Probablemente sí, MÉXICO ,Una selección nacional,Descuento directo,Sí,No
629,España,Probablemente sí,Argentina,Un jugador famoso,Descuento directo,Sí,Sí
630,España,Probablemente no,Argentina,Una selección nacional,2x1,Sí,Sí
631,Brasil,Definitivamente no,Francia,Un jugador famoso,Sorteo de balones,Sí,Sí
632,Portugal,Definitivamente no,Portugal,Una selección nacional,Producto gratis,Sí,Sí
633,Brasil,Tal vez,México,Un jugador famoso,Tarjetas coleccionables,Sí,No
634,Curaçao,Probablemente no,Brasil,Un jugador famoso,2x1,Sí,No
635,Brasil,Definitivamente sí,Inglaterra,Premios y sorteos,Descuento directo,Sí,Sí
636,Francia,Probablemente no,Senegal,Un jugador famoso,Sorteo de viajes,Sí,Sí
637,Portugal,Definitivamente sí,Inglaterra,Premios y sorteos,Sorteo de camisetas,No,Sí
638,Francia,Probablemente sí,Brasil,Historias de aficionados,2x1,Sí,Sí
639,Francia,Definitivamente sí,Panamá,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
640,España,Definitivamente no,Portugal,Humor,Descuento directo,Sí,Sí
641,Portugal,Definitivamente sí,Portugal,Un jugador famoso,Sorteo de balones,Sí,Sí
642,Alemania,Definitivamente no,España,Historias de aficionados,Tarjetas coleccionables,Sí,No
643,Alemania,Tal vez,Brasil,Historias de aficionados,2x1,Sí,Sí
644,Portugal,Tal vez,México,Un jugador famoso,2x1,Sí,Sí
645,Argentina,Tal vez,México,Un jugador famoso,Sorteo de camisetas,Sí,Sí
646,Ghana,Definitivamente no,Argentina,Un jugador famoso,Descuento directo,No,No
647,Brasil,Tal vez,México,Una selección nacional,2x1,Sí,Sí
648,España,Definitivamente sí,Argentina,Un jugador famoso,Tarjetas coleccionables,No,Sí
649,Inglaterra,Definitivamente sí,Corea del Sur,Una selección nacional,Tarjetas coleccionables,Sí,Sí
650,México,Probablemente sí,Portugal,Una selección nacional,Sorteo de camisetas,Sí,Sí
651,Uzbekistán,Definitivamente sí,Portugal,Historias de aficionados,2x1,Sí,Sí
652,España,Tal vez,Portugal,Premios y sorteos,Sorteo de balones,Sí,No
653,Portugal,Definitivamente sí,No especificado,Un jugador famoso,Producto gratis,Sí,Sí
654,Francia,Definitivamente sí,Argentina,Humor,Tarjetas coleccionables,Sí,No
655,México,Definitivamente no,Argentina,Historias de aficionados,Descuento directo,Sí,No
656,Inglaterra,Probablemente no,Inglaterra,Premios y sorteos,Descuento directo,Sí,No
657,Uruguay,Definitivamente sí,Uruguay,Un jugador famoso,2x1,Sí,No
658,Colombia,Probablemente sí,Portugal,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
659,Brasil,Tal vez,Francia,Un jugador famoso,Descuento directo,Sí,Sí
660,Portugal,Probablemente no,Brasil,Premios y sorteos,Sorteo de balones,Sí,Sí
661,Curaçao,Definitivamente sí,Portugal,Historias de aficionados,Producto gratis,Sí,No
662,España,Probablemente sí,España,Premios y sorteos,Descuento directo,Sí,Sí
663,Argentina,Probablemente sí,Brasil,Una selección nacional,Sorteo de viajes,Sí,No
664,México,Probablemente sí,Portugal,Una selección nacional,Sorteo de balones,Sí,Sí
665,Brasil,Tal vez,México,Premios y sorteos,Descuento directo,Sí,Sí
666,Argentina,Definitivamente sí, ARGENTINA ,Historias de aficionados,Producto gratis,Sí,Sí
667,Francia,Tal vez,Portugal,Un jugador famoso,Producto gratis,Sí,Sí
668,Alemania,Tal vez,Argentina,Premios y sorteos,Tarjetas coleccionables,No,No
669,Argentina,Definitivamente sí,Brasil,Un jugador famoso,Descuento directo,Sí,Sí
670,España,Probablemente sí,Argentina,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
671,Argentina,Tal vez,México,Humor,2x1,Sí,Sí
672,Inglaterra,Probablemente no,Argentina,Historias de aficionados,2x1,Sí,Sí
673,Portugal,Definitivamente sí,Colombia,Premios y sorteos,2x1,Sí,Sí
674,Francia,Probablemente sí,España,Premios y sorteos,Sorteo de camisetas,Sí,No
675,España,Definitivamente sí,Brasil,Historias de aficionados,Descuento directo,Sí,Sí
676,Portugal,Probablemente sí,Argentina,Premios y sorteos,Descuento directo,Sí,Sí
677,Inglaterra,Probablemente no,Brasil,Una selección nacional,Tarjetas coleccionables,Sí,No
678,Argentina,Probablemente sí,España,Un jugador famoso,Descuento directo,Sí,Sí
679,Portugal,Probablemente sí,Francia,Un jugador famoso,Descuento directo,Sí,Sí
680,México,Probablemente sí,Brasil,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
681,México,Definitivamente sí,Brasil,Historias de aficionados,Sorteo de camisetas,No,No
682,México,Tal vez,Argentina,Una selección nacional,Descuento directo,Sí,Sí
683,Francia,Tal vez,Suiza,Un jugador famoso,Descuento directo,Sí,Sí
684,Brasil,Probablemente no,Estados Unidos,Un jugador famoso,Tarjetas coleccionables,No,No
685,Argentina,Definitivamente sí,México,Una selección nacional,Sorteo de balones,Sí,Sí
686,Estados Unidos,Probablemente sí,Alemania,Un jugador famoso,Sorteo de viajes,Sí,No
687,Argentina,Definitivamente sí,Francia,Humor,Sorteo de viajes,Sí,Sí
688,Argentina,Tal vez,Francia,Una selección nacional,Sorteo de balones,Sí,Sí
689,Francia,Definitivamente sí,Francia,Una selección nacional,Producto gratis,Sí,Sí
690,España,Probablemente sí,Uruguay,Un jugador famoso,Sorteo de camisetas,Sí,No
691,Argentina,Definitivamente sí,Brasil,Historias de aficionados,Producto gratis,Sí,Sí
692, PORTUGAL ,Probablemente sí,Brasil,Una selección nacional,2x1,Sí,Sí
693,Croacia,Definitivamente sí,Alemania,Un jugador famoso,Descuento directo,Sí,No
694,México,Probablemente sí,Argentina,Un jugador famoso,Producto gratis,No,No
695,México,Tal vez,Brasil,Una selección nacional,2x1,Sí,Sí
696,Argentina,Definitivamente sí,Alemania,Una selección nacional,Sorteo de balones,Sí,Sí
697,México,Tal vez,Francia,Humor,Producto gratis,Sí,Sí
698,Alemania,Definitivamente sí,Argentina,Humor,Producto gratis,Sí,No
699,Egipto,Probablemente sí,Francia,Un jugador famoso,2x1,No,No
700,Argentina,Tal vez,Francia,Historias de aficionados,Descuento directo,Sí,Sí
701,Japón,Tal vez,México,Una selección nacional,2x1,No,Sí
702,México,Probablemente sí,Uruguay,Una selección nacional,Descuento directo,Sí,No
703,Argentina,Definitivamente sí,México,Historias de aficionados,2x1,Sí,No
704,Argentina,Definitivamente sí,España,Una selección nacional,Descuento directo,Sí,No
705,Portugal,Probablemente sí,Argentina,Premios y sorteos,Sorteo de viajes,Sí,No
706,Argentina,Definitivamente no,Portugal,Historias de aficionados,2x1,Sí,Sí
707,Brasil,Definitivamente sí,Brasil,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
708,España,Probablemente sí,Congo DR,Humor,Descuento directo,Sí,Sí
709,Brasil,Probablemente sí,Inglaterra,Premios y sorteos,Descuento directo,No,Sí
710,España,Tal vez,México,Premios y sorteos,Descuento directo,Sí,Sí
711,Brasil,Definitivamente sí,Colombia,Un jugador famoso,2x1,Sí,Sí
712,Argentina,Probablemente sí,Estados Unidos,Humor,Descuento directo,Sí,Sí
713,Colombia,Tal vez,Portugal,Una selección nacional,Descuento directo,No,Sí
714,España,Probablemente sí,Francia,Premios y sorteos,Sorteo de balones,Sí,Sí
715,Brasil,Tal vez,Argentina,Humor,2x1,Sí,Sí
716,Brasil,Definitivamente sí,España,Humor,Descuento directo,Sí,No
717,Brasil,Probablemente no,Brasil,Una selección nacional,Producto gratis,Sí,Sí
718,Argentina,Probablemente sí,México,Un jugador famoso,Producto gratis,Sí,No
719,Portugal,Tal vez,España,Historias de aficionados,Tarjetas coleccionables,Sí,No
720,Argentina,Probablemente sí,Jordania,Humor,Tarjetas coleccionables,Sí,Sí
721,Portugal,Probablemente no,España,Un jugador famoso,Descuento directo,Sí,Sí
722,Estados Unidos,Definitivamente sí,Portugal,Historias de aficionados,2x1,Sí,No
723,Brasil,Definitivamente sí,Argentina,Un jugador famoso,Descuento directo,Sí,Sí
724,Brasil,Probablemente no,México,Premios y sorteos,Sorteo de balones,Sí,No
725,Francia,Probablemente sí,Argentina,Una selección nacional,Descuento directo,Sí,Sí
726,Brasil,Probablemente sí,España,Premios y sorteos,2x1,Sí,Sí
727,Portugal,Probablemente sí,España,Un jugador famoso,Tarjetas coleccionables,Sí,No
728,España,Tal vez,Colombia,Humor,Sorteo de camisetas,Sí,No
729,Argentina,Probablemente sí,México,Humor,Tarjetas coleccionables,Sí,No
730, ARGENTINA ,Probablemente no,Brasil,Una selección nacional,Tarjetas coleccionables,Sí,Sí
731,España,Definitivamente sí,Francia,Premios y sorteos,Descuento directo,Sí,Sí
732,Brasil,Tal vez,España,Premios y sorteos,Sorteo de camisetas,Sí,Sí
733,Brasil,Probablemente sí,Colombia,Un jugador famoso,Sorteo de camisetas,Sí,No
734,España,Tal vez,Colombia,Historias de aficionados,Descuento directo,No,Sí
735,Argentina,Tal vez,Brasil,Un jugador famoso,Sorteo de balones,Sí,Sí
736,Alemania,Probablemente sí,Alemania,Un jugador famoso,2x1,Sí,Sí
737,Argentina,Tal vez,Argentina,Una selección nacional,Descuento directo,Sí,Sí
738,Brasil,Definitivamente sí,Portugal,Premios y sorteos,Tarjetas coleccionables,Sí,No
739,Colombia,Probablemente no,Alemania,Un jugador famoso,Descuento directo,Sí,Sí
740,Brasil,Tal vez,Estados Unidos,Una selección nacional,Sorteo de balones,Sí,No
741,Ghana,Probablemente sí,Canadá,Premios y sorteos,Sorteo de viajes,Sí,No
742,Estados Unidos,Probablemente sí,Portugal,Un jugador famoso,Sorteo de viajes,No,Sí
743,Paraguay,Probablemente sí,Francia,Humor,Sorteo de viajes,Sí,No
744,España,Probablemente sí,Francia,Una selección nacional,Tarjetas coleccionables,Sí,No
745,Argentina,Definitivamente no,España,Una selección nacional,Producto gratis,Sí,No
746,Uruguay,Tal vez,España,Humor,Producto gratis,Sí,Sí
747,Francia,Probablemente sí,Inglaterra,Historias de aficionados,2x1,Sí,No
748,España,Tal vez,Argentina,Historias de aficionados,2x1,Sí,No
749,España,Tal vez,Portugal,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
750,Argentina,Definitivamente sí, ARGENTINA ,Historias de aficionados,2x1,Sí,Sí
751,Brasil,Definitivamente sí,Francia,Historias de aficionados,Sorteo de camisetas,Sí,Sí
752,México,Probablemente sí,España,Una selección nacional,Descuento directo,Sí,Sí
753,Brasil,Definitivamente sí,Inglaterra,Una selección nacional,Producto gratis,Sí,Sí
754,España,Probablemente no,Inglaterra,Premios y sorteos,2x1,Sí,Sí
755,Argentina,Probablemente sí,México,Historias de aficionados,Producto gratis,Sí,Sí
756,Francia,Definitivamente sí,Brasil,Premios y sorteos,2x1,Sí,No
757,Estados Unidos,Probablemente sí, ESTADOS UNIDOS ,Un jugador famoso,Sorteo de balones,Sí,No
758,Brasil,Tal vez,Brasil,Un jugador famoso,Descuento directo,Sí,No
759,Estados Unidos,Tal vez,México,Una selección nacional,Sorteo de balones,Sí,Sí
760,Francia,Definitivamente sí,México,Un jugador famoso,Sorteo de camisetas,Sí,Sí
761,Paraguay,Probablemente sí,Argentina,Humor,Descuento directo,No,Sí
762,Portugal,Probablemente no,Portugal,Premios y sorteos,Descuento directo,Sí,Sí
763,Argentina,Tal vez,México,Historias de aficionados,Producto gratis,Sí,Sí
764,Brasil,Definitivamente sí,Canadá,Un jugador famoso,2x1,Sí,Sí
765,Jordania,Tal vez,Estados Unidos,Un jugador famoso,2x1,Sí,Sí
766,Brasil,Tal vez,Argentina,Una selección nacional,Sorteo de camisetas,Sí,Sí
767,Inglaterra,Tal vez,México,Un jugador famoso,Producto gratis,Sí,Sí
768,México,Probablemente sí,Brasil,Un jugador famoso,Sorteo de viajes,Sí,Sí
769,Brasil,Definitivamente sí,Colombia,Premios y sorteos,2x1,Sí,Sí
770,Jordania,Definitivamente sí,Argentina,Un jugador famoso,2x1,Sí,Sí
771,Francia,Definitivamente sí,Brasil,Un jugador famoso,Sorteo de camisetas,No,Sí
772,Portugal,Probablemente no,Colombia,Un jugador famoso,Descuento directo,Sí,Sí
773,México,Definitivamente sí,España,Humor,Descuento directo,Sí,Sí
774, FRANCIA ,Definitivamente sí,México,Historias de aficionados,2x1,Sí,Sí
775,Brasil,Probablemente sí,España,Un jugador famoso,Descuento directo,Sí,Sí
776,Francia,Probablemente sí,Francia,Una selección nacional,2x1,Sí,No
777, BRASIL ,Tal vez,Argentina,Un jugador famoso,Sorteo de balones,Sí,No
778,Brasil,Definitivamente no,Colombia,Una selección nacional,2x1,Sí,No
779,Argentina,Definitivamente sí,Croacia,Un jugador famoso,Descuento directo,Sí,Sí
780,Inglaterra,Definitivamente sí,Argentina,Premios y sorteos,Descuento directo,Sí,No
781,Portugal,Tal vez,Argentina,Humor,2x1,Sí,No
782,Colombia,Probablemente sí,Estados Unidos,Un jugador famoso,Sorteo de balones,Sí,Sí
783,México,Probablemente sí,Estados Unidos,Un jugador famoso,Sorteo de balones,Sí,No
784,Alemania,Probablemente no,Alemania,Premios y sorteos,Sorteo de balones,Sí,No
785,México,Tal vez,Portugal,Premios y sorteos,Descuento directo,No,Sí
786,Francia,Tal vez,Congo DR,Historias de aficionados,Sorteo de camisetas,No,No
787,México,Probablemente sí,Estados Unidos,Un jugador famoso,Descuento directo,No,No
788,Canadá,Definitivamente sí,Argentina,Un jugador famoso,Sorteo de viajes,No,Sí
789,México,Probablemente sí,Argentina,Premios y sorteos,Sorteo de viajes,Sí,Sí
790,Portugal,Definitivamente sí,Brasil,Premios y sorteos,2x1,Sí,Sí
791,Brasil,Definitivamente sí,Argentina,Premios y sorteos,Sorteo de camisetas,Sí,Sí
792,México,Tal vez,Brasil,Una selección nacional,Producto gratis,Sí,Sí
793,Estados Unidos,Definitivamente sí,Uruguay,Un jugador famoso,Sorteo de balones,Sí,Sí
794,Argentina,Probablemente no,México,Historias de aficionados,Descuento directo,Sí,No
795,Francia,Probablemente sí,Argentina,Humor,Sorteo de camisetas,Sí,Sí
796,México,Definitivamente sí,Francia,Humor,Sorteo de camisetas,Sí,No
797,Argentina,Tal vez,Argentina,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
798,Brasil,Probablemente sí,España,Historias de aficionados,Sorteo de camisetas,Sí,Sí
799,Brasil,Definitivamente sí,México,Premios y sorteos,Descuento directo,No,No
800,Uruguay,Tal vez,Francia,Un jugador famoso,2x1,Sí,Sí
801,Irán,Probablemente sí,Irak,Un jugador famoso,Tarjetas coleccionables,Sí,No
802,México,Tal vez,Portugal,Un jugador famoso,Descuento directo,Sí,Sí
803,Brasil,Tal vez,Argentina,Premios y sorteos,Descuento directo,Sí,Sí
804,México,Probablemente no,Argentina,Un jugador famoso,Sorteo de camisetas,Sí,No
805, TÜRKIYE ,Definitivamente sí,España,Premios y sorteos,Descuento directo,Sí,Sí
806,México,Tal vez,Argentina,Una selección nacional,2x1,Sí,No
807,Brasil,Probablemente no,Curaçao,Premios y sorteos,Producto gratis,Sí,Sí
808,México,Tal vez,Brasil,Premios y sorteos,Descuento directo,Sí,Sí
809,Estados Unidos,Tal vez,Estados Unidos,Un jugador famoso,2x1,Sí,No
810,Portugal,Probablemente sí,Argentina,Una selección nacional,2x1,Sí,Sí
811,Francia,Probablemente sí,Portugal,Un jugador famoso,Sorteo de balones,Sí,Sí
812,Portugal,Definitivamente sí,México,Premios y sorteos,Sorteo de viajes,Sí,No
813,Suecia,Definitivamente sí,Brasil,Humor,2x1,Sí,Sí
814,Argentina,Definitivamente sí,Argentina,Historias de aficionados,Tarjetas coleccionables,Sí,No
815,Francia,Definitivamente sí,Argentina,Historias de aficionados,Descuento directo,Sí,Sí
816,España,Probablemente no,España,Un jugador famoso,Tarjetas coleccionables,Sí,No
817,Francia,Definitivamente sí,México,Una selección nacional,Descuento directo,Sí,Sí
818,Francia,Probablemente sí,Nueva Zelanda,Un jugador famoso,Descuento directo,Sí,Sí
819,Argentina,Tal vez,España,Un jugador famoso,Sorteo de balones,Sí,Sí
820,Portugal,Probablemente sí,México,Un jugador famoso,Descuento directo,Sí,No
821,España,Definitivamente sí,Panamá,Premios y sorteos,2x1,Sí,No
822,México,Probablemente no,Argentina,Un jugador famoso,Sorteo de viajes,Sí,Sí
823,Uruguay,Tal vez,Argentina,Una selección nacional,Sorteo de balones,Sí,No
824,Haití,Definitivamente sí,España,Historias de aficionados,Producto gratis,Sí,Sí
825,Argentina,Definitivamente no,México,Humor,Descuento directo,Sí,Sí
826,México,Probablemente sí,Portugal,Una selección nacional,Tarjetas coleccionables,Sí,No
827,Estados Unidos,Probablemente no,Argentina,Un jugador famoso,2x1,Sí,Sí
828,España,Probablemente sí,Francia,Historias de aficionados,Sorteo de balones,Sí,Sí
829,Brasil,Probablemente sí, FRANCIA ,Humor,2x1,Sí,No
830,Brasil,Tal vez,Inglaterra,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
831,Francia,Probablemente sí,Brasil,Una selección nacional,Descuento directo,Sí,No
832,Portugal,Definitivamente no,Inglaterra,Humor,Sorteo de balones,Sí,No
833,España,Definitivamente sí,Inglaterra,Una selección nacional,Tarjetas coleccionables,Sí,Sí
834,Bosnia y Herzegovina,Definitivamente no,Noruega,Historias de aficionados,Descuento directo,Sí,No
835,Inglaterra,Definitivamente sí,Brasil,Historias de aficionados,Tarjetas coleccionables,Sí,Sí
836,España,Tal vez,Qatar,Una selección nacional,Tarjetas coleccionables,Sí,Sí
837,Portugal,Definitivamente sí,España,Historias de aficionados,Tarjetas coleccionables,Sí,Sí
838,Alemania,Definitivamente sí,Francia,Humor,Descuento directo,Sí,Sí
839,Colombia,Definitivamente sí,Curaçao,Una selección nacional,Tarjetas coleccionables,Sí,Sí
840,Argentina,Tal vez,Uruguay,Premios y sorteos,2x1,Sí,Sí
841,Portugal,Probablemente sí,Brasil,Humor,Producto gratis,Sí,No
842,México,Probablemente no,Argentina,Un jugador famoso,Tarjetas coleccionables,Sí,No
843,Croacia,Probablemente no,Brasil,Premios y sorteos,2x1,Sí,Sí
844,Francia,Definitivamente sí,España,Una selección nacional,Sorteo de balones,Sí,Sí
845,Argentina,Definitivamente sí, BRASIL ,Historias de aficionados,Descuento directo,Sí,No
846,Francia,Tal vez,México,Un jugador famoso,Sorteo de camisetas,Sí,Sí
847,Portugal,Definitivamente sí,Brasil,Humor,2x1,Sí,No
848,Brasil,Tal vez,Brasil,Humor,Descuento directo,Sí,Sí
849,Argentina,Probablemente no,Brasil,Un jugador famoso,Producto gratis,Sí,No
850,Brasil,Tal vez,México,Una selección nacional,Tarjetas coleccionables,Sí,Sí
851,Argentina,Tal vez,México,Humor,Tarjetas coleccionables,Sí,No
852,Nueva Zelanda,Probablemente no,Argentina,Humor,Tarjetas coleccionables,Sí,Sí
853,México,Definitivamente sí, BRASIL ,Un jugador famoso,Producto gratis,No,Sí
854,Canadá,Tal vez,Brasil,Premios y sorteos,Sorteo de camisetas,No,No
855,México,Probablemente sí,México,Una selección nacional,Descuento directo,Sí,No
856,Portugal,Probablemente sí,Portugal,Un jugador famoso,Producto gratis,Sí,Sí
857,Francia,Tal vez,Argentina,Un jugador famoso,Descuento directo,Sí,No
858,Uruguay,Tal vez,Estados Unidos,Humor,2x1,No,No
859,Marruecos,Probablemente no,No especificado,Historias de aficionados,Tarjetas coleccionables,Sí,No
860,Brasil,Tal vez,Alemania,Un jugador famoso,2x1,Sí,Sí
861,Colombia,Definitivamente sí, BRASIL ,Una selección nacional,Tarjetas coleccionables,Sí,No
862,Senegal,Probablemente sí,Colombia,Un jugador famoso,Producto gratis,No,Sí
863,Uruguay,Tal vez,Argentina,Historias de aficionados,Tarjetas coleccionables,Sí,Sí
864,Portugal,Tal vez,Noruega,Una selección nacional,Sorteo de viajes,Sí,Sí
865,México,Definitivamente sí,Francia,Una selección nacional,Tarjetas coleccionables,No,Sí
866,México,Definitivamente sí,Argentina,Una selección nacional,Descuento directo,Sí,Sí
867,Estados Unidos,Probablemente sí, ARGENTINA ,Premios y sorteos,2x1,Sí,No
868,Brasil,Probablemente no,Argentina,Una selección nacional,Tarjetas coleccionables,Sí,Sí
869,Argentina,Definitivamente sí, BRASIL ,Una selección nacional,2x1,Sí,Sí
870,Uruguay,Tal vez,Brasil,Humor,Sorteo de camisetas,Sí,Sí
871,Brasil,Probablemente sí,México,Un jugador famoso,Sorteo de camisetas,Sí,Sí
872,Argentina,Probablemente sí,Uzbekistán,Premios y sorteos,Sorteo de balones,Sí,Sí
873,España,Probablemente sí,Argentina,Una selección nacional,Descuento directo,Sí,Sí
874,Croacia,Probablemente sí,Suecia,Historias de aficionados,Sorteo de camisetas,Sí,Sí
875,Brasil,Tal vez,Francia,Humor,Sorteo de viajes,Sí,No
876,México,Probablemente sí,Argentina,Un jugador famoso,Sorteo de camisetas,No,No
877,Argentina,Probablemente sí,Brasil,Un jugador famoso,Producto gratis,Sí,Sí
878,Uruguay,Tal vez,Corea del Sur,Una selección nacional,2x1,Sí,Sí
879,México,Definitivamente sí,Panamá,Una selección nacional,2x1,Sí,Sí
880,Inglaterra,Tal vez, BRASIL ,Un jugador famoso,Sorteo de camisetas,Sí,Sí
881,Senegal,Tal vez,Argentina,Una selección nacional,2x1,Sí,Sí
882,Congo DR,Tal vez,Portugal,Un jugador famoso,Sorteo de camisetas,Sí,Sí
883,Estados Unidos,Tal vez,Argentina,Historias de aficionados,2x1,Sí,Sí
884,Brasil,Tal vez,Brasil,Un jugador famoso,2x1,Sí,No
